2023-03-12 00:03:08 DEBUG    upscale2x: scaling 2x from 1920x1080 with engine=2x_AnimeJaNai_V1.42_Compact-net_g_96000; num_streams=4
2023-03-12 00:05:11 DEBUG    upscale2x: scaling 2x from 3840x2160 with engine=2x_AnimeJaNai_V1.42_Compact-net_g_96000; num_streams=4
2023-03-12 00:05:13 DEBUG    upscale2x: scaling 2x from 3840x2160 with engine=2x_AnimeJaNai_V1.42_Compact-net_g_96000; num_streams=4
2023-03-12 00:17:06 DEBUG    upscale2x: scaling 2x from 1920x1036 with engine=2x_AnimeJaNai_V1.42_Compact-net_g_96000; num_streams=4
2023-03-12 16:06:51 DEBUG    upscale2x: scaling 2x from 720x405 with engine=2x_AnimeJaNai_V1.42_Compact-net_g_96000; num_streams=2.0
2023-03-12 16:06:52 DEBUG    upscale2x: scaling 2x from 1920x1080 with engine=2x_AnimeJaNai_V1.42_Compact-net_g_96000; num_streams=2.0
2023-03-12 16:07:03 DEBUG    upscale2x: scaling 2x from 720x405 with engine=2x_AnimeJaNai_V1.42_Compact-net_g_96000; num_streams=2.0
2023-03-12 16:07:03 DEBUG    upscale2x: scaling 2x from 1920x1080 with engine=2x_AnimeJaNai_V1.42_Compact-net_g_96000; num_streams=2.0
2023-03-12 16:08:29 DEBUG    upscale2x: scaling 2x from 960x540 with engine=2x_AnimeJaNai_V1.42_Compact-net_g_96000; num_streams=2.0
2023-03-12 16:08:30 DEBUG    upscale2x: scaling 2x from 1920x1080 with engine=2x_AnimeJaNai_V1.42_Compact-net_g_96000; num_streams=2.0
2023-03-12 16:08:49 DEBUG    upscale2x: scaling 2x from 960x540 with engine=2x_AnimeJaNai_V1.42_Compact-net_g_96000; num_streams=2.0
2023-03-12 16:08:49 DEBUG    upscale2x: scaling 2x from 1920x1080 with engine=2x_AnimeJaNai_V1.42_Compact-net_g_96000; num_streams=2.0
2023-03-12 16:09:02 DEBUG    upscale2x: scaling 2x from 960x540 with engine=2x_AnimeJaNai_V1.42_Compact-net_g_96000; num_streams=2.0
2023-03-12 16:09:02 DEBUG    upscale2x: scaling 2x from 1920x1080 with engine=2x_AnimeJaNai_V1.42_Compact-net_g_96000; num_streams=2.0
2023-03-12 16:11:37 DEBUG    upscale2x: scaling 2x from 1280x720 with engine=2x_AnimeJaNai_V1.42_Compact-net_g_96000; num_streams=2.0
2023-03-12 16:11:37 DEBUG    upscale2x: scaling 2x from 1920x1080 with engine=2x_AnimeJaNai_V1.42_Compact-net_g_96000; num_streams=2.0
2023-03-12 16:12:15 DEBUG    upscale2x: scaling 2x from 1280x720 with engine=2x_AnimeJaNai_V1.42_Compact-net_g_96000; num_streams=2.0
2023-03-12 16:12:15 DEBUG    upscale2x: scaling 2x from 1920x1080 with engine=2x_AnimeJaNai_V1.42_Compact-net_g_96000; num_streams=2.0
